contour_id,point_id,u,v
0,0,1.43364,0.943242
0,1,1.43482,0.943267
1,0,1.41425,0.942818
1,1,1.43364,0.943242
2,0,1.41308,0.942844
2,1,1.41425,0.942818
3,0,1.39369,0.943268
3,1,1.41308,0.942844
4,0,1.39251,0.943345
4,1,1.39369,0.943268
5,0,1.37316,0.944613
5,1,1.39251,0.943345
6,0,1.37199,0.944741
6,1,1.37316,0.944613
7,0,1.35272,0.946852
7,1,1.37199,0.944741
8,0,1.35156,0.947031
8,1,1.35272,0.946852
9,0,1.33239,0.949982
9,1,1.35156,0.947031
10,0,1.33123,0.950212
10,1,1.33239,0.949982
11,0,1.31222,0.953994
11,1,1.33123,0.950212
12,0,1.31107,0.954274
12,1,1.31222,0.953994
13,0,1.29223,0.958884
13,1,1.31107,0.954274
14,0,1.29111,0.959213
14,1,1.29223,0.958884
15,0,1.27249,0.96464
15,1,1.29111,0.959213
16,0,1.27138,0.965018
16,1,1.27249,0.96464
17,0,1.25301,0.971251
17,1,1.27138,0.965018
18,0,1.25192,0.971677
18,1,1.25301,0.971251
19,0,1.23384,0.978707
19,1,1.25192,0.971677
20,0,1.23276,0.97918
20,1,1.23384,0.978707
21,0,1.21502,0.98699
21,1,1.23276,0.97918
22,0,1.21396,0.987511
22,1,1.21502,0.98699
23,0,1.19657,0.996088
23,1,1.21396,0.987511
24,0,1.19554,0.996654
24,1,1.19657,0.996088
25,0,1.17854,1.00598
25,1,1.19554,0.996654
26,0,1.17753,1.00659
26,1,1.17854,1.00598
27,0,1.16095,1.01665
27,1,1.17753,1.00659
28,0,1.15997,1.01731
28,1,1.16095,1.01665
29,0,1.14385,1.02808
29,1,1.15997,1.01731
30,0,1.1429,1.02877
30,1,1.14385,1.02808
31,0,1.12726,1.04024
31,1,1.1429,1.02877
32,0,1.12634,1.04098
32,1,1.12726,1.04024
33,0,1.11122,1.05312
33,1,1.12634,1.04098
34,0,1.11034,1.05389
34,1,1.11122,1.05312
35,0,1.09576,1.06668
35,1,1.11034,1.05389
36,0,1.09491,1.06749
36,1,1.09576,1.06668
37,0,1.0809,1.0809
37,1,1.09491,1.06749
38,0,1.08008,1.08175
38,1,1.0809,1.0809
39,0,1.06667,1.09576
39,1,1.08008,1.08175
40,0,1.0659,1.09664
40,1,1.06667,1.09576
41,0,1.05311,1.11122
41,1,1.0659,1.09664
42,0,1.05238,1.11214
42,1,1.05311,1.11122
43,0,1.04024,1.12727
43,1,1.05238,1.11214
44,0,1.03954,1.12821
44,1,1.04024,1.12727
45,0,1.02808,1.14385
45,1,1.03954,1.12821
46,0,1.02742,1.14483
46,1,1.02808,1.14385
47,0,1.01665,1.16096
47,1,1.02742,1.14483
48,0,1.01604,1.16196
48,1,1.01665,1.16096
49,0,1.00598,1.17854
49,1,1.01604,1.16196
50,0,1.00541,1.17957
50,1,1.00598,1.17854
51,0,0.996086,1.19657
51,1,1.00541,1.17957
52,0,0.995566,1.19763
52,1,0.996086,1.19657
53,0,0.986988,1.21502
53,1,0.995566,1.19763
54,0,0.986515,1.2161
54,1,0.986988,1.21502
55,0,0.978706,1.23385
55,1,0.986515,1.2161
56,0,0.978279,1.23494
56,1,0.978706,1.23385
57,0,0.971251,1.25302
57,1,0.978279,1.23494
58,0,0.970873,1.25413
58,1,0.971251,1.25302
59,0,0.964639,1.2725
59,1,0.970873,1.25413
60,0,0.96431,1.27362
60,1,0.964639,1.2725
61,0,0.958884,1.29224
61,1,0.96431,1.27362
62,0,0.958604,1.29338
62,1,0.958884,1.29224
63,0,0.953995,1.31222
63,1,0.958604,1.29338
64,0,0.953766,1.31337
64,1,0.953995,1.31222
65,0,0.949982,1.33239
65,1,0.953766,1.31337
66,0,0.949804,1.33356
66,1,0.949982,1.33239
67,0,0.946854,1.35272
67,1,0.949804,1.33356
68,0,0.946726,1.35389
68,1,0.946854,1.35272
69,0,0.944614,1.37317
69,1,0.946726,1.35389
70,0,0.944538,1.37434
70,1,0.944614,1.37317
71,0,0.94327,1.39369
71,1,0.944538,1.37434
72,0,0.943245,1.39487
72,1,0.94327,1.39369
73,0,0.942821,1.41426
73,1,0.943245,1.39487
74,0,0.942847,1.41543
74,1,0.942821,1.41426
75,0,0.94327,1.43482
75,1,0.942847,1.41543
76,0,0.943347,1.436
76,1,0.94327,1.43482
77,0,0.944615,1.45535
77,1,0.943347,1.436
78,0,0.944743,1.45652
78,1,0.944615,1.45535
79,0,0.946855,1.47579
79,1,0.944743,1.45652
80,0,0.947034,1.47696
80,1,0.946855,1.47579
81,0,0.949984,1.49612
81,1,0.947034,1.47696
82,0,0.950214,1.49728
82,1,0.949984,1.49612
83,0,0.953997,1.51629
83,1,0.950214,1.49728
84,0,0.954277,1.51744
84,1,0.953997,1.51629
85,0,0.958887,1.53628
85,1,0.954277,1.51744
86,0,0.959216,1.5374
86,1,0.958887,1.53628
87,0,0.964642,1.55602
87,1,0.959216,1.5374
88,0,0.96502,1.55713
88,1,0.964642,1.55602
89,0,0.971253,1.5755
89,1,0.96502,1.55713
90,0,0.97168,1.57659
90,1,0.971253,1.5755
91,0,0.97871,1.59467
91,1,0.97168,1.57659
92,0,0.979183,1.59575
92,1,0.97871,1.59467
93,0,0.986992,1.61349
93,1,0.979183,1.59575
94,0,0.987513,1.61455
94,1,0.986992,1.61349
95,0,0.99609,1.63194
95,1,0.987513,1.61455
96,0,0.996656,1.63297
96,1,0.99609,1.63194
97,0,1.00598,1.64997
97,1,0.996656,1.63297
98,0,1.00659,1.65098
98,1,1.00598,1.64997
99,0,1.01665,1.66756
99,1,1.00659,1.65098
100,0,1.01731,1.66854
100,1,1.01665,1.66756
101,0,1.02808,1.68466
101,1,1.01731,1.66854
102,0,1.02878,1.68561
102,1,1.02808,1.68466
103,0,1.04024,1.70125
103,1,1.02878,1.68561
104,0,1.04098,1.70217
104,1,1.04024,1.70125
105,0,1.05312,1.71729
105,1,1.04098,1.70217
106,0,1.05389,1.71817
106,1,1.05312,1.71729
107,0,1.06668,1.73275
107,1,1.05389,1.71817
108,0,1.06749,1.7336
108,1,1.06668,1.73275
109,0,1.0809,1.74761
109,1,1.06749,1.7336
110,0,1.08175,1.74843
110,1,1.0809,1.74761
111,0,1.09576,1.76184
111,1,1.08175,1.74843
112,0,1.09665,1.76261
112,1,1.09576,1.76184
113,0,1.11123,1.7754
113,1,1.09665,1.76261
114,0,1.11214,1.77613
114,1,1.11123,1.7754
115,0,1.12727,1.78827
115,1,1.11214,1.77613
116,0,1.12822,1.78897
116,1,1.12727,1.78827
117,0,1.14386,1.80043
117,1,1.12822,1.78897
118,0,1.14483,1.80109
118,1,1.14386,1.80043
119,0,1.16096,1.81186
119,1,1.14483,1.80109
120,0,1.16196,1.81247
120,1,1.16096,1.81186
121,0,1.17854,1.82253
121,1,1.16196,1.81247
122,0,1.17957,1.8231
122,1,1.17854,1.82253
123,0,1.19658,1.83242
123,1,1.17957,1.8231
124,0,1.19763,1.83294
124,1,1.19658,1.83242
125,0,1.21502,1.84152
125,1,1.19763,1.83294
126,0,1.2161,1.842
126,1,1.21502,1.84152
127,0,1.23385,1.8498
127,1,1.2161,1.842
128,0,1.23495,1.85023
128,1,1.23385,1.8498
129,0,1.25302,1.85726
129,1,1.23495,1.85023
130,0,1.25413,1.85764
130,1,1.25302,1.85726
131,0,1.2725,1.86387
131,1,1.25413,1.85764
132,0,1.27363,1.8642
132,1,1.2725,1.86387
133,0,1.29224,1.86963
133,1,1.27363,1.8642
134,0,1.29339,1.86991
134,1,1.29224,1.86963
135,0,1.31222,1.87451
135,1,1.29339,1.86991
136,0,1.31338,1.87474
136,1,1.31222,1.87451
137,0,1.3324,1.87853
137,1,1.31338,1.87474
138,0,1.33356,1.87871
138,1,1.3324,1.87853
139,0,1.35273,1.88166
139,1,1.33356,1.87871
140,0,1.3539,1.88178
140,1,1.35273,1.88166
141,0,1.37317,1.8839
141,1,1.3539,1.88178
142,0,1.37435,1.88397
142,1,1.37317,1.8839
143,0,1.3937,1.88524
143,1,1.37435,1.88397
144,0,1.39487,1.88527
144,1,1.3937,1.88524
145,0,1.41426,1.88569
145,1,1.39487,1.88527
146,0,1.41544,1.88566
146,1,1.41426,1.88569
147,0,1.43482,1.88524
147,1,1.41544,1.88566
148,0,1.436,1.88516
148,1,1.43482,1.88524
149,0,1.45535,1.88389
149,1,1.436,1.88516
150,0,1.45652,1.88377
150,1,1.45535,1.88389
151,0,1.4758,1.88166
151,1,1.45652,1.88377
152,0,1.47696,1.88148
152,1,1.4758,1.88166
153,0,1.49612,1.87853
153,1,1.47696,1.88148
154,0,1.49728,1.8783
154,1,1.49612,1.87853
155,0,1.5163,1.87451
155,1,1.49728,1.8783
156,0,1.51744,1.87423
156,1,1.5163,1.87451
157,0,1.53628,1.86962
157,1,1.51744,1.87423
158,0,1.53741,1.8693
158,1,1.53628,1.86962
159,0,1.55602,1.86387
159,1,1.53741,1.8693
160,0,1.55714,1.86349
160,1,1.55602,1.86387
161,0,1.5755,1.85726
161,1,1.55714,1.86349
162,0,1.5766,1.85683
162,1,1.5755,1.85726
163,0,1.59467,1.8498
163,1,1.5766,1.85683
164,0,1.59575,1.84933
164,1,1.59467,1.8498
165,0,1.6135,1.84152
165,1,1.59575,1.84933
166,0,1.61455,1.841
166,1,1.6135,1.84152
167,0,1.63194,1.83242
167,1,1.61455,1.841
168,0,1.63298,1.83185
168,1,1.63194,1.83242
169,0,1.64998,1.82253
169,1,1.63298,1.83185
170,0,1.65098,1.82192
170,1,1.64998,1.82253
171,0,1.66756,1.81186
171,1,1.65098,1.82192
172,0,1.66854,1.8112
172,1,1.66756,1.81186
173,0,1.68466,1.80043
173,1,1.66854,1.8112
174,0,1.68561,1.79973
174,1,1.68466,1.80043
175,0,1.70125,1.78827
