contour_id,point_id,u,v
0,0,-0.0135846,-0.41419
0,1,5.74229e-18,-0.414486
1,0,-0.0180796,-0.414092
1,1,-0.0135846,-0.41419
2,0,-0.0316384,-0.413203
2,1,-0.0180796,-0.414092
3,0,-0.0361249,-0.412909
3,1,-0.0316384,-0.413203
4,0,-0.049632,-0.41143
4,1,-0.0361249,-0.412909
5,0,-0.0541013,-0.41094
5,1,-0.049632,-0.41143
6,0,-0.067531,-0.408873
6,1,-0.0541013,-0.41094
7,0,-0.0719748,-0.408189
7,1,-0.067531,-0.408873
8,0,-0.0853016,-0.405538
8,1,-0.0719748,-0.408189
9,0,-0.0897113,-0.404661
9,1,-0.0853016,-0.405538
10,0,-0.10291,-0.401432
10,1,-0.0897113,-0.404661
11,0,-0.107277,-0.400363
11,1,-0.10291,-0.401432
12,0,-0.120322,-0.396561
12,1,-0.107277,-0.400363
13,0,-0.124638,-0.395303
13,1,-0.120322,-0.396561
14,0,-0.137505,-0.390935
14,1,-0.124638,-0.395303
15,0,-0.141763,-0.38949
15,1,-0.137505,-0.390935
16,0,-0.154427,-0.384565
16,1,-0.141763,-0.38949
17,0,-0.158617,-0.382935
17,1,-0.154427,-0.384565
18,0,-0.171054,-0.377463
18,1,-0.158617,-0.382935
19,0,-0.175169,-0.375652
19,1,-0.171054,-0.377463
20,0,-0.187356,-0.369642
20,1,-0.175169,-0.375652
21,0,-0.191388,-0.367654
21,1,-0.187356,-0.369642
22,0,-0.203301,-0.361118
22,1,-0.191388,-0.367654
23,0,-0.207243,-0.358956
23,1,-0.203301,-0.361118
24,0,-0.21886,-0.351907
24,1,-0.207243,-0.358956
25,0,-0.222703,-0.349574
25,1,-0.21886,-0.351907
26,0,-0.234001,-0.342025
26,1,-0.222703,-0.349574
27,0,-0.23774,-0.339527
27,1,-0.234001,-0.342025
28,0,-0.248697,-0.331493
28,1,-0.23774,-0.339527
29,0,-0.252323,-0.328834
29,1,-0.248697,-0.331493
30,0,-0.26292,-0.320329
30,1,-0.252323,-0.328834
31,0,-0.266427,-0.317515
31,1,-0.26292,-0.320329
32,0,-0.276643,-0.308556
32,1,-0.266427,-0.317515
33,0,-0.280023,-0.305591
33,1,-0.276643,-0.308556
34,0,-0.289838,-0.296195
34,1,-0.280023,-0.305591
35,0,-0.293086,-0.293086
35,1,-0.289838,-0.296195
36,0,-0.302482,-0.283271
36,1,-0.293086,-0.293086
37,0,-0.305591,-0.280023
37,1,-0.302482,-0.283271
38,0,-0.31455,-0.269807
38,1,-0.305591,-0.280023
39,0,-0.317515,-0.266427
39,1,-0.31455,-0.269807
40,0,-0.32602,-0.25583
40,1,-0.317515,-0.266427
41,0,-0.328834,-0.252323
41,1,-0.32602,-0.25583
42,0,-0.336869,-0.241365
42,1,-0.328834,-0.252323
43,0,-0.339527,-0.23774
43,1,-0.336869,-0.241365
44,0,-0.347076,-0.226442
44,1,-0.339527,-0.23774
45,0,-0.349574,-0.222703
45,1,-0.347076,-0.226442
46,0,-0.356623,-0.211087
46,1,-0.349574,-0.222703
47,0,-0.358956,-0.207243
47,1,-0.356623,-0.211087
48,0,-0.365491,-0.19533
48,1,-0.358956,-0.207243
49,0,-0.367654,-0.191388
49,1,-0.365491,-0.19533
50,0,-0.373664,-0.179202
50,1,-0.367654,-0.191388
51,0,-0.375652,-0.175169
51,1,-0.373664,-0.179202
52,0,-0.381125,-0.162732
52,1,-0.375652,-0.175169
53,0,-0.382935,-0.158617
53,1,-0.381125,-0.162732
54,0,-0.38786,-0.145953
54,1,-0.382935,-0.158617
55,0,-0.38949,-0.141763
55,1,-0.38786,-0.145953
56,0,-0.393857,-0.128896
56,1,-0.38949,-0.141763
57,0,-0.395303,-0.124638
57,1,-0.393857,-0.128896
58,0,-0.399105,-0.111593
58,1,-0.395303,-0.124638
59,0,-0.400363,-0.107277
59,1,-0.399105,-0.111593
60,0,-0.403593,-0.0940785
60,1,-0.400363,-0.107277
61,0,-0.404661,-0.0897113
61,1,-0.403593,-0.0940785
62,0,-0.407312,-0.0763845
62,1,-0.404661,-0.0897113
63,0,-0.408189,-0.0719748
63,1,-0.407312,-0.0763845
64,0,-0.410256,-0.0585451
64,1,-0.408189,-0.0719748
65,0,-0.41094,-0.0541013
65,1,-0.410256,-0.0585451
66,0,-0.41242,-0.0405942
66,1,-0.41094,-0.0541013
67,0,-0.412909,-0.0361249
67,1,-0.41242,-0.0405942
68,0,-0.413798,-0.0225661
68,1,-0.412909,-0.0361249
69,0,-0.414092,-0.0180796
69,1,-0.413798,-0.0225661
70,0,-0.414388,-0.00449501
70,1,-0.414092,-0.0180796
71,0,-0.414486,-5.44519e-17
71,1,-0.414388,-0.00449501
72,0,-0.41419,0.0135846
72,1,-0.414486,-5.44519e-17
73,0,-0.414092,0.0180796
73,1,-0.41419,0.0135846
74,0,-0.413203,0.0316384
74,1,-0.414092,0.0180796
75,0,-0.412909,0.0361249
75,1,-0.413203,0.0316384
76,0,-0.41143,0.049632
76,1,-0.412909,0.0361249
77,0,-0.41094,0.0541013
77,1,-0.41143,0.049632
78,0,-0.408873,0.067531
78,1,-0.41094,0.0541013
79,0,-0.408189,0.0719748
79,1,-0.408873,0.067531
80,0,-0.405538,0.0853016
80,1,-0.408189,0.0719748
81,0,-0.404661,0.0897113
81,1,-0.405538,0.0853016
82,0,-0.401432,0.10291
82,1,-0.404661,0.0897113
83,0,-0.400363,0.107277
83,1,-0.401432,0.10291
84,0,-0.396561,0.120322
84,1,-0.400363,0.107277
85,0,-0.395303,0.124638
85,1,-0.396561,0.120322
86,0,-0.390935,0.137505
86,1,-0.395303,0.124638
87,0,-0.38949,0.141763
87,1,-0.390935,0.137505
88,0,-0.384565,0.154427
88,1,-0.38949,0.141763
89,0,-0.382935,0.158617
89,1,-0.384565,0.154427
90,0,-0.377463,0.171054
90,1,-0.382935,0.158617
91,0,-0.375652,0.175169
91,1,-0.377463,0.171054
92,0,-0.369642,0.187356
92,1,-0.375652,0.175169
93,0,-0.367654,0.191388
93,1,-0.369642,0.187356
94,0,-0.361118,0.203301
94,1,-0.367654,0.191388
95,0,-0.358956,0.207243
95,1,-0.361118,0.203301
96,0,-0.351907,0.21886
96,1,-0.358956,0.207243
97,0,-0.349574,0.222703
97,1,-0.351907,0.21886
98,0,-0.342025,0.234001
98,1,-0.349574,0.222703
99,0,-0.339527,0.23774
99,1,-0.342025,0.234001
100,0,-0.331493,0.248697
100,1,-0.339527,0.23774
101,0,-0.328834,0.252323
101,1,-0.331493,0.248697
102,0,-0.320329,0.26292
102,1,-0.328834,0.252323
103,0,-0.317515,0.266427
103,1,-0.320329,0.26292
104,0,-0.308556,0.276643
104,1,-0.317515,0.266427
105,0,-0.305591,0.280023
105,1,-0.308556,0.276643
106,0,-0.296195,0.289838
106,1,-0.305591,0.280023
107,0,-0.293086,0.293086
107,1,-0.296195,0.289838
108,0,-0.283271,0.302482
108,1,-0.293086,0.293086
109,0,-0.280023,0.305591
109,1,-0.283271,0.302482
110,0,-0.269807,0.31455
110,1,-0.280023,0.305591
111,0,-0.266427,0.317515
111,1,-0.269807,0.31455
112,0,-0.25583,0.32602
112,1,-0.266427,0.317515
113,0,-0.252323,0.328834
113,1,-0.25583,0.32602
114,0,-0.241365,0.336869
114,1,-0.252323,0.328834
115,0,-0.23774,0.339527
115,1,-0.241365,0.336869
116,0,-0.226442,0.347076
116,1,-0.23774,0.339527
117,0,-0.222703,0.349574
117,1,-0.226442,0.347076
118,0,-0.211087,0.356623
118,1,-0.222703,0.349574
119,0,-0.207243,0.358956
119,1,-0.211087,0.356623
120,0,-0.19533,0.365491
120,1,-0.207243,0.358956
121,0,-0.191388,0.367654
121,1,-0.19533,0.365491
122,0,-0.179202,0.373664
122,1,-0.191388,0.367654
123,0,-0.175169,0.375652
123,1,-0.179202,0.373664
124,0,-0.162732,0.381125
124,1,-0.175169,0.375652
125,0,-0.158617,0.382935
125,1,-0.162732,0.381125
126,0,-0.145953,0.38786
126,1,-0.158617,0.382935
127,0,-0.141763,0.38949
127,1,-0.145953,0.38786
128,0,-0.128896,0.393857
128,1,-0.141763,0.38949
129,0,-0.124638,0.395303
129,1,-0.128896,0.393857
130,0,-0.111593,0.399105
130,1,-0.124638,0.395303
131,0,-0.107277,0.400363
131,1,-0.111593,0.399105
132,0,-0.0940785,0.403593
